desc	IAPS	valmn	valsd	aromn	arosd	dom1mn	dom1sd	dom2mn	dom2sd	set
Injection	9592	3.34	1.75	5.23	2.09	4.14	2.28			12
Injection	9594	3.76	1.70	5.17	2.17	4.43	2.25			11
Ship	9600	2.48	1.62	6.46	2.31	2.27	1.64			5
PlaneCrash	9611	2.71	1.95	5.75	2.44	3.67	2.23			8
Shipwreck	9620	2.70	1.64	6.11	2.10	3.29	1.95			8
Ship	9621	3.22	1.76	5.76	2.05	3.55	2.4	3.23	1.81	7
Jet	9622	3.10	1.90	6.26	1.98	3.66	2.31	3.32	1.98	7
Bomb	9630	2.96	1.72	6.06	2.22	2.98	2.13			6
Trash	9700	4.77	1.24	3.21	1.92	5.47	2.08			9
Skinhead	9800	2.04	1.57	6.05	2.71	4.92	2.52			5
KKKrally	9810	2.09	1.78	6.62	2.26	3.95	2.5			6
Cigarettes	9830	2.54	1.75	4.86	2.63	4.96	2.38			6
CarAccident	9910	2.06	1.26	6.20	2.16	3.02	1.89			5
CarAccident	9911	2.30	1.37	5.76	2.10	3.54	2.13	2.99	1.59	7
Firefighter	9912	3.46	1.76	4.68	2.31	4.62	2.12			8
Truck	9913	4.38	1.89	4.42	2.14			4.74	2.27	13
CarAccident	9920	2.50	1.52	5.76	1.96	3.09	2.13			6
Fire	9921	2.04	1.47	6.52	1.94	3.57	2.41	2.94	1.72	7
ManInPool	2055.1	3.15	1.84	4.95	2.11			4.31	2.1	14
ManInPool	2055.2	6.40	1.75	4.45	2.18			5.65	2.14	13
Kiss	2352.1	7.27	1.79	5.16	2.17	6.04	1.79			11
BloodyKiss	2352.2	2.09	1.50	6.25	2.10	3.45	1.94			12
Woman	2375.1	2.20	1.31	4.88	2.21			3.75	2.28	14
AttractiveFem	2375.2	6.34	1.54	4.30	2.29			5.75	2	13
Shopping	2745.1	5.31	1.08	3.26	1.96			6.29	1.96	14
Shoplifter	2745.2	3.91	2.00	5.17	2.14			5.44	2.12	13
CryingBoy	2900.1	2.56	1.41	4.61	2.07	4.83	2.26			11
SmilingGirl	2900.2	6.62	1.97	4.52	1.92	5.73	1.95			12
OpenGrave	3005.1	1.63	1.19	6.20	2.54			2.77	2.24	14
Gold	3005.2	5.98	1.90	4.84	2.18			5.97	1.97	13
PlaneCrash	3550.1	2.35	1.39	6.29	1.96	3.47	2.1			12
Coach	3550.2	4.92	1.62	5.13	2.24	5.38	2.02			11
Erotic	4664.1	5.63	2.61	6.63	1.87	5.23	2.37			12
Attack	4664.2	2.79	1.77	6.13	2.29	3.33	2.4			11
AimedGun	6250.1	2.63	1.74	6.92	1.92	2.6	2.02			12
IceCream	6250.2	6.32	1.70	5.13	2.06	5.63	2.1			11
Suicide	6570.1	2.54	1.76	6.12	2.17	3.46	2.36			12
BlowDry	6570.2	4.86	0.95	3.85	1.93	5.66	1.77			11
ManOnFire	9635.1	1.90	1.31	6.54	2.27			3.21	2.24	14
Fire	9635.2	4.38	1.65	4.62	2.23			5.12	2.04	13
Snake	1026	4.09	1.91	5.61	2.23			4.43	2.39	16
PolarBears	1441	7.97	1.28	3.94	2.38			6.34	2.01	15
Mole	1617	4.23	1.68	5.34	2.41			4.62	1.87	16
Buffalo	1675	5.24	1.48	4.37	2.15			4.63	2.1	15
Woman	2037	6.42	1.24	3.35	2.04			6.21	1.84	15
NeuWoman	2038	5.09	1.35	2.94	1.93			6.36	1.85	16
NeuMan	2102	5.16	0.96	3.03	1.87			5.8	1.77	16
NeuWoman	2104	4.42	1.09	3.11	1.84			5.45	1.84	15
Mother	2152	6.93	1.42	4.50	2.25			5.99	1.87	16
Mother	2153	6.98	1.50	4.40	2.24			6.23	1.87	15
Family	2154	8.03	1.13	4.48	2.31			6.38	1.9	16
Woman	2305	5.41	1.12	3.63	2.04			5.53	1.49	16
Boy	2306	7.08	1.37	4.46	2.11			6.02	1.8	15
Family	2332	7.64	1.60	4.30	2.29			6.37	1.91	15
Father	2339	6.72	1.34	4.16	1.90			6.03	1.66	15
Family	2358	6.56	1.70	3.73	2.04			5.83	1.95	15
Girl&Dog	2362	6.74	1.34	4.60	2.09			6.01	1.72	15
Band	2373	6.97	1.32	4.50	2.08			5.95	1.58	16
Couple	2396	4.91	1.05	3.34	1.83			5.59	1.59	16
Men	2397	4.98	1.11	2.77	1.74			5.64	1.92	15
Boat	2398	7.48	1.32	4.74	2.11			6.18	1.89	16
Feet	2445	5.39	1.39	3.83	1.91			5.68	1.67	16
Boots	2446	4.70	1.04	3.79	1.88			5.51	1.91	15
Woman	2506	5.67	1.23	3.50	1.94			5.8	1.82	15
Man	2512	4.86	0.84	3.46	1.75			5.47	1.53	16
Woman	2513	5.80	1.29	3.29	1.67			5.92	1.71	15
Men	2593	5.80	1.34	3.42	1.84			5.91	1.69	16
City	2594	6.05	1.31	3.84	1.98			5.78	1.85	15
Market	2597	5.61	1.26	4.09	2.10			5.18	1.83	16
Family	2598	7.19	1.30	3.73	1.84			6.07	1.79	15
Dance	2605	6.26	1.45	5.03	2.16			5.91	1.86	16
Dance	2606	5.92	1.58	4.78	2.21			6.12	1.79	15
SadChildren	2703	1.91	1.26	5.78	2.25			3.15	1.95	16
Soldiers	2704	4.85	1.89	5.30	2.16			4.86	1.96	15
Pipe	2716	3.54	1.79	4.97	2.24			4.7	2.29	16
DrugAddict	2717	2.58	1.32	5.70	2.16			3.91	2.39	16
DrugAddict	2718	3.65	1.58	4.46	2.03			5.21	2.21	15
Mask	2770	4.37	1.69	5.11	2.05			4.82	1.95	15
Funeral	2799	2.42	1.41	5.02	1.99			3.56	2.06	15
Gun	2811	2.17	1.38	6.90	2.22			2.55	2.21	15
Mutilation	3016	1.90	1.31	5.82	2.44			3.07	2.09	16
Mutilation	3017	2.45	1.35	5.34	2.39			3.65	2.03	15
BatteredFem	3191	1.95	1.22	5.95	2.17			3.19	2.08	15
BurnVictim	3215	2.51	1.32	5.44	2.16			3.89	1.92	16
MedicalAssist	3216	3.28	1.64	5.37	2.00			4.31	2.04	15
Mutilation	3225	1.82	1.22	5.95	2.46			3.08	2.15	15
SickBaby	3302	4.50	2.48	5.70	2.27			4.67	2.28	16
EroticFemale	4006	6.05	1.70	5.27	2.27			5.54	1.97	15
EroticFemale	4225	6.09	1.82	5.39	2.38			5.49	1.94	15
EroticFemale	4311	6.66	1.76	6.67	2.19			5.69	2.25	16
BeachBoys	4542	6.33	1.92	5.08	2.41			5.66	1.84	16
EroticMale	4559	5.53	1.80	4.83	2.29			5.62	1.8	15
AttractiveMan	4574	6.62	1.62	4.25	2.29			5.7	1.68	16
EroticCouple	4643	6.84	1.54	6.01	2.00			5.64	2.1	16
EroticCouple	4645	6.73	1.59	5.69	2.16			6.09	1.98	16
EroticCouple	4647	5.89	1.95	6.21	2.26			5.52	2.17	15
EroticCouple	4649	5.77	2.01	5.99	2.25			5.13	1.98	16
EroticCouple	4694	6.69	1.70	6.42	2.08			5.85	2.09	15
EroticCouple	4695	6.84	1.53	6.61	1.88			5.95	2.05	16
Satellite	5471	5.21	1.18	3.26	2.05			5.63	1.82	16
Mountains	5631	7.29	1.34	3.86	2.64			6.23	2.15	16
WinterStreet	5635	6.25	1.56	3.97	2.03			5.69	1.98	15
Field	5764	6.74	1.64	3.55	2.32			6.09	1.81	16
Lake	5781	7.13	1.49	3.82	2.37			6.28	1.9	15
Mountain	5814	7.15	1.54	4.82	2.40			5.86	2.05	15
Beach	5833	8.22	1.08	5.71	2.66			6.97	1.93	16
Beach	5836	7.25	1.39	4.28	2.41			5.92	2.02	15
Tornado	5961	3.52	1.86	5.80	2.37			3.21	2.24	15
Tornado	5973	3.51	1.83	5.78	2.27			2.94	2.01	16
Assault	6021	2.21	1.51	6.06	2.38			3.39	2.31	15
Assault	6022	2.14	1.55	6.09	2.47			3.23	2.14	16
Attack	6562	3.19	1.34	5.08	2.39			3.99	2.03	16
Military	6825	2.81	1.19	5.36	2.19			3.8	1.98	15
Barbells	7042	5.55	1.23	4.02	2.26			6.4	2.06	15
Drill	7043	5.17	1.26	3.68	2.09			6.38	1.93	16
Scale	7044	4.69	1.40	3.94	2.17			5.16	2.28	15
Pill	7046	4.18	1.38	4.14	2.04			5.22	2.11	16
Clothespins	7052	5.33	1.32	3.01	2.02			6.19	1.86	16
Candlestick	7053	5.22	0.75	2.95	1.91			5.87	1.99	15
Glass	7054	4.14	1.09	4.08	2.13			4.78	1.91	16
Lightbulb	7055	4.90	0.64	3.02	1.83			5.73	1.86	15
Tool	7056	5.07	1.02	3.07	1.92			6.38	2.1	15
Coffeecup	7057	5.35	1.37	3.39	2.01			6.04	2.06	16
Dice	7058	5.29	1.38	3.98	2.17			5.66	2.31	15
Keyring	7059	4.93	0.81	2.73	1.88			6.22	1.98	16
AbstractArt	7188	5.50	1.12	4.28	2.16			5.61	1.94	16
Vase	7192	5.77	1.33	3.58	2.01			5.76	1.83	15
Building	7242	5.28	1.45	3.83	2.06			5.72	1.85	16
AbstractArt	7247	5.05	1.00	4.14	2.23			5.05	1.99	15
AbstractArt	7248	5.22	1.07	4.22	2.11			5.07	1.87	16
AbstractArt	7249	5.24	1.04	3.97	2.08			5.5	1.8	15
Lamb	7482	6.36	1.77	4.81	2.24			6.29	2.13	15
Fish	7484	4.99	1.97	4.24	2.23			6.06	1.79	16
Pastry	7487	4.92	1.57	4.08	2.00			5.3	1.89	15
Chicken	7488	6.19	1.98	4.96	2.36			6.22	1.95	16
Casino	7506	5.34	1.46	4.25	1.95			5.37	1.97	15
FerrisWheel	7508	7.02	1.46	5.09	2.11			5.22	1.96	16
Bridge	7546	5.40	1.13	3.72	2.16			5.48	2	15
Bridge	7547	5.21	0.96	3.18	2.01			5.76	2	16
Waterskiing	8205	6.62	1.42	4.17	1.93			5.86	1.79	15
Rowing	8241	5.76	1.31	4.06	1.96			6.18	1.72	16
Rafting	8371	6.82	1.45	5.12	2.30			5.59	1.87	16
Nudists	8466	4.86	1.77	4.92	2.09			5.11	2.06	15
Runners	8467	6.35	1.44	5.12	2.36			5.79	2.07	16
Rollercoaster	8499	7.63	1.41	6.07	2.31			5.51	2.1	16
Assault	9254	2.03	1.35	6.04	2.35			3.08	1.95	15
Assault	9419	2.55	1.33	5.19	2.08			3.94	2.05	16
Assault	9423	2.61	1.51	5.66	2.15			3.43	2.13	16
Bomb	9424	2.87	1.62	5.78	2.12			3.78	2.17	16
Assault	9425	2.67	1.44	5.92	2.13			3.22	2.12	15
Assault	9426	3.08	1.51	5.28	2.02			3.5	1.95	15
Assault	9427	2.89	1.47	5.50	2.09			3.72	2.11	15
Assault	9428	2.31	1.31	5.66	2.41			3.77	2.16	15
Assault	9429	2.68	1.26	5.63	2.04			3.68	1.96	16
CarAccident	9900	2.46	1.39	5.58	2.13			3.63	2.05	15
CarAccident	9901	2.27	1.25	5.70	2.22			3.4	2.12	15
CarAccident	9902	2.33	1.38	6.00	2.15			3.08	2.1	16
CarAccident	9903	2.36	1.35	5.71	2.28			3.58	2.24	16
Fire	9925	2.84	1.35	5.59	2.23			3.5	2.08	16
Flood	9926	3.85	1.59	4.83	1.95			4.37	2	16

